pmcid,pmid,doi,title,journal,publication_year,license
9120559,35261111,10.1002/hbm.25822,Resting functional connectivity of the left inferior frontal gyrus with the dorsomedial prefrontal cortex and temporoparietal junction reflects the social network size for active interactions,Hum Brain Mapp,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
9599902,36291346,10.3390/brainsci12101413,Resting-State Functional MRI Adaptation with Attention Graph Convolution Network for Brain Disorder Identification,Brain Sci,2022,https://creativecommons.org/licenses/by/4.0/
10028675,36661217,10.1002/hbm.26201,Functional connectome automatically differentiates multiple system atrophy (parkinsonian type) from idiopathic Parkinson's disease at early stages,Hum Brain Mapp,2023,https://creativecommons.org/licenses/by-nc-nd/4.0/
8417581,34489757,10.3389/fpsyt.2021.699813,Atypical Integration of Sensory-to-Transmodal Functional Systems Mediates Symptom Severity in Autism,Front Psychiatry,2021,https://creativecommons.org/licenses/by/4.0/
8994544,35232759,10.1523/JNEUROSCI.1216-21.2022,Subregions of DLPFC Display Graded yet Distinct Structural and Functional Connectivity,J Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
9797096,36576924,10.1371/journal.pone.0278962,Contributions of human amygdala nuclei to resting-state networks,PLoS One,2022,https://creativecommons.org/licenses/by/4.0/
8166311,34079352,10.2147/IJGM.S303339,Identification of Brain Regions with Enhanced Functional Connectivity with the Cerebellum Region in Children with Attention Deficit Hyperactivity Disorder: A Resting-State fMRI Study,Int J Gen Med,2021,https://www.dovepress.com/terms.php
7525302,33015164,10.1155/2020/4107065,The Effects of Music Intervention on Pallidum-DMN Circuit of Schizophrenia,Biomed Res Int,2020,https://creativecommons.org/licenses/by/4.0/
8329704,34354567,10.3389/fnins.2021.699999,Multimodal Neuroimaging Predictors of Learning Performance of Sensorimotor Rhythm Up-Regulation Neurofeedback,Front Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
9022474,35465192,10.3389/fnsys.2022.812111,Social-Cognitive Network Connectivity in Preterm Children and Relations With Early Nutrition and Developmental Outcomes,Front Syst Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
7355178,32284075,10.1192/j.eurpsy.2020.34,Depression-related anterior cingulate prefrontal resting state connectivity normalizes following cognitive behavioral therapy,Eur Psychiatry,2020,http://creativecommons.org/licenses/by/4.0/
8748462,35013326,10.1038/s41531-021-00268-6,Functional connectivity in Parkinson’s disease candidates for deep brain stimulation,NPJ Parkinsons Dis,2022,https://creativecommons.org/licenses/by/4.0/
6685940,31391479,10.1038/s41598-019-46702-x,Association between dynamic resting-state functional connectivity and ketamine plasma levels in visual processing networks,Sci Rep,2019,http://creativecommons.org/licenses/by/4.0/
6990753,31876910,10.1001/jamapsychiatry.2019.4208,Association of Intrinsic Brain Architecture With Changes in Attentional and Mood Symptoms During Development,JAMA Psychiatry,2019,http://creativecommons.org/licenses/by/4.0/
6158841,30257698,10.1186/s12974-018-1317-z,Interaction of systemic oxidative stress and mesial temporal network degeneration in Parkinson’s disease with and without cognitive impairment,J Neuroinflammation,2018,http://creativecommons.org/licenses/by/4.0/
6985137,31988371,10.1038/s41598-020-58074-8,Resting-state connectivity stratifies premanifest Huntington’s disease by longitudinal cognitive decline rate,Sci Rep,2020,http://creativecommons.org/licenses/by/4.0/
7811744,33453729,10.1186/s13195-020-00764-6,Recurrent and concurrent patterns of regional BOLD dynamics and functional connectivity dynamics in cognitive decline,Alzheimers Res Ther,2021,http://creativecommons.org/licenses/by/4.0/
8959420,35356058,10.3389/fnins.2022.838347,Unrevealing Reliable Cortical Parcellation of Individual Brains Using Resting-State Functional Magnetic Resonance Imaging and Masked Graph Convolutions,Front Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
9170720,35668086,10.1038/s41398-022-01995-x,Reduced nucleus accumbens functional connectivity in reward network and default mode network in patients with recurrent major depressive disorder,Transl Psychiatry,2022,https://creativecommons.org/licenses/by/4.0/
7935029,33688607,10.1162/netn_a_00171,Graph convolutional network for fMRI analysis based on connectivity neighborhood,Netw Neurosci,2021,http://creativecommons.org/licenses/by/4.0/
9057106,35146831,10.1002/hbm.25802,"Avalanche criticality in individuals, fluid intelligence, and working memory",Hum Brain Mapp,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
7035375,32081883,10.1038/s41598-020-59815-5,Resting State Functional Connectivity of the Thalamus in North Korean Refugees with and without Posttraumatic Stress Disorder,Sci Rep,2020,http://creativecommons.org/licenses/by/4.0/
7022153,31992644,10.1073/pnas.1906144117,Conservative and disruptive modes of adolescent change in human brain functional connectivity,Proc Natl Acad Sci U S A,2020,http://creativecommons.org/licenses/by/4.0/
9893784,36741780,10.3389/fnhum.2022.925543,Aberrant resting-state regional activity in patients with postpartum depression,Front Hum Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
6421982,30914909,10.3389/fnins.2019.00147,Somatosensory Stimulation With XNKQ Acupuncture Modulates Functional Connectivity of Motor Areas,Front Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
7952868,33716944,10.3389/fneur.2021.642411,Relation of Decreased Functional Connectivity Between Left Thalamus and Left Inferior Frontal Gyrus to Emotion Changes Following Acute Sleep Deprivation,Front Neurol,2021,http://creativecommons.org/licenses/by/4.0/
7111429,32269510,10.3389/fnins.2020.00252,Fully Integrated PET/MR Imaging for the Assessment of the Relationship Between Functional Connectivity and Glucose Metabolic Rate,Front Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
8678527,34924940,10.3389/fnins.2021.771947,Brain Relatively Inert Network: Taking Adult Attention Deficit Hyperactivity Disorder as an Example,Front Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
9574049,36262839,10.3389/fninf.2022.882126,Test-retest reliability of peak location in the sensorimotor network of resting state fMRI for potential rTMS targets,Front Neuroinform,2022,https://creativecommons.org/licenses/by/4.0/
7462425,32885116,10.1162/netn_a_00138,Estimation of global and local complexities of brain networks: A random walks approach,Netw Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
9304308,35129272,10.1111/ene.15251,Anticholinergic drugs and forebrain magnetic resonance imaging changes in cognitively normal people and those with mild cognitive impairment,Eur J Neurol,2022,https://creativecommons.org/licenses/by/4.0/
8703225,34984003,10.2147/NDT.S334403,Resting-State Functional Magnetic Resonance Imaging Reveals Overactivation of the Habitual Control Brain System in Tobacco Dependence,Neuropsychiatr Dis Treat,2021,https://www.dovepress.com/terms.php
6603131,31293411,10.3389/fnagi.2019.00139,Altered Global Synchronizations in Patients With Parkinson’s Disease: A Resting-State fMRI Study,Front Aging Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
10377532,37508929,10.3390/brainsci13070997,Common and Distinct Functional Connectivity of the Orbitofrontal Cortex in Depression and Schizophrenia,Brain Sci,2023,https://creativecommons.org/licenses/by/4.0/
9921238,36537816,10.1002/hbm.26164,Investigating cognitive neuroscience theories of human intelligence: A connectome‐based predictive modeling approach,Hum Brain Mapp,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
7693576,33304251,10.3389/fnhum.2020.568399,Neural Basis of Increased Cognitive Control of Impulsivity During the Mid-Luteal Phase Relative to the Late Follicular Phase of the Menstrual Cycle,Front Hum Neurosci,2020,http://creativecommons.org/licenses/by/4.0/
