"Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)","Seed: Angular gyrus, R (sustained decreases: contrast [1 −0.5 −0.5]) (df = 10)"
"Precentral gyrus, R","Precentral gyrus, R",40,−04,58,990,0.16,9.09,<0.001
"Postcentral gyrus, L","Postcentral gyrus, L",−32,−40,64,681,0.15,7.30,<0.001
"Postcentral gyrus, L","Postcentral gyrus, L",−44,−22,48,205,0.14,6.77,0.021
Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [−0.5 1 −0.5]) (df = 10)
"Angular gyrus, L","Angular gyrus, L",−26,−80,42,195,0.14,5.42,0.044
Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10),Seed: bilateral insula (normalized increases: contrast [0.5 −1 0.5]) (df = 10)
"Precentral gyrus (medial), R","Precentral gyrus (medial), R",18,−34,36,2769,0.13,9.15,<0.001
"Central operculum, L","Central operculum, L",−50,02,−02,263,0.15,7.41,0.008
"Central operculum, R","Central operculum, R",54,−02,18,259,0.15,6.99,0.009
"Planum temporale, L","Planum temporale, L",−68,−26,34,258,0.15,7.08,0.009
"Supramarginal gyrus, R","Supramarginal gyrus, R",48,−32,36,227,0.15,5.65,0.019
